epoch,step,train_loss,valid_loss,lr,time
21,end,2.6129820725274464,4.373291701078415,0.0005,2025-05-24 15:16:54
22,10,2.326723265647888,, 0.0005,2025-05-24 15:17:02
22,20,2.4064558148384094,, 0.0005,2025-05-24 15:17:11
22,30,2.4656498591105143,, 0.0005,2025-05-24 15:17:19
22,40,2.4353568643331527,, 0.0005,2025-05-24 15:17:28
22,50,2.4412325024604797,, 0.0005,2025-05-24 15:17:36
22,60,2.4689429342746734,, 0.0005,2025-05-24 15:17:45
22,end,2.4907642829985845,4.335404634475708,0.0005,2025-05-24 15:17:53
23,10,2.398458778858185,, 0.0005,2025-05-24 15:18:02
23,20,2.2827604472637177,, 0.0005,2025-05-24 15:18:10
23,30,2.2815844933191936,, 0.0005,2025-05-24 15:18:18
23,40,2.2468785256147386,, 0.0005,2025-05-24 15:18:26
23,50,2.223526904582977,, 0.0005,2025-05-24 15:18:34
23,60,2.230824202299118,, 0.0005,2025-05-24 15:18:42
23,end,2.2241552803251476,4.475558251142502,0.0005,2025-05-24 15:18:51
24,10,1.8520198225975038,, 0.0005,2025-05-24 15:18:59
24,20,1.8319505155086517,, 0.0005,2025-05-24 15:19:07
24,30,1.85443457365036,, 0.0005,2025-05-24 15:19:15
24,40,1.9164771407842636,, 0.0005,2025-05-24 15:19:24
24,50,1.9359407758712768,, 0.0005,2025-05-24 15:19:32
24,60,1.9592720091342926,, 0.0005,2025-05-24 15:19:41
24,end,1.9716420987295726,4.337994575500488,0.0005,2025-05-24 15:19:49
25,10,1.7281855344772339,, 0.0005,2025-05-24 15:19:57
25,20,1.688918799161911,, 0.0005,2025-05-24 15:20:06
25,30,1.7392604033152261,, 0.0005,2025-05-24 15:20:14
25,40,1.73925821185112,, 0.0005,2025-05-24 15:20:23
25,50,1.7286945939064027,, 0.0005,2025-05-24 15:20:31
25,60,1.7319983124732972,, 0.0005,2025-05-24 15:20:39
25,end,1.74944211566259,4.135532557964325,0.0005,2025-05-24 15:20:47
26,10,1.6054533481597901,, 0.0005,2025-05-24 15:20:56
26,20,1.5507562458515167,, 0.0005,2025-05-24 15:21:04
26,30,1.5182479778925577,, 0.0005,2025-05-24 15:21:12
26,40,1.4931659698486328,, 0.0005,2025-05-24 15:21:21
26,50,1.5645819401741028,, 0.0005,2025-05-24 15:21:29
26,60,1.575024038553238,, 0.0005,2025-05-24 15:21:37
26,end,1.5856974919637044,5.088386118412018,0.0005,2025-05-24 15:21:45
27,10,1.5592163801193237,, 0.0005,2025-05-24 15:21:54
27,20,1.6482535660266877,, 0.0005,2025-05-24 15:22:02
27,30,1.606879965464274,, 0.0005,2025-05-24 15:22:10
27,40,1.600909012556076,, 0.0005,2025-05-24 15:22:18
27,50,1.5582180690765381,, 0.0005,2025-05-24 15:22:26
27,60,1.5309877336025237,, 0.0005,2025-05-24 15:22:34
27,end,1.5337389802175856,3.7998546361923218,0.0005,2025-05-24 15:22:42
28,10,1.21049063205719,, 0.0005,2025-05-24 15:22:51
28,20,1.2274051249027251,, 0.0005,2025-05-24 15:22:59
28,30,1.3141201337178547,, 0.0005,2025-05-24 15:23:07
28,40,1.354037168622017,, 0.0005,2025-05-24 15:23:15
28,50,1.3605168199539184,, 0.0005,2025-05-24 15:23:23
28,60,1.3763144314289093,, 0.0005,2025-05-24 15:23:31
28,end,1.3875837439582461,4.408222019672394,0.0005,2025-05-24 15:23:40
29,10,1.6034675359725952,, 0.0005,2025-05-24 15:23:48
29,20,1.4447339296340942,, 0.0005,2025-05-24 15:23:56
29,30,1.3796083132425945,, 0.0005,2025-05-24 15:24:04
29,40,1.3486391186714173,, 0.0005,2025-05-24 15:24:12
29,50,1.350233061313629,, 0.0005,2025-05-24 15:24:21
29,60,1.3616221328576406,, 0.0005,2025-05-24 15:24:29
29,end,1.3624715540144179,3.563715398311615,0.0005,2025-05-24 15:24:37
30,10,1.2028979182243347,, 0.0005,2025-05-24 15:24:46
30,20,1.1852544367313385,, 0.0005,2025-05-24 15:24:54
30,30,1.2297682503859202,, 0.0005,2025-05-24 15:25:03
30,40,1.2948695972561837,, 0.0005,2025-05-24 15:25:11
30,50,1.2635233342647552,, 0.0005,2025-05-24 15:25:20
30,60,1.2708121021588643,, 0.0005,2025-05-24 15:25:28
30,end,1.2728978300851488,3.9098621904850006,0.0005,2025-05-24 15:25:37
